videoId,title,description,channelTitle,videoPublishedAt,tags,viewCount,videoLikeCount,videoCommentCount
MKUoxHcGhbI,President Zelenskyy lands in Turkey ahead of Russia-Ukraine talks,"Live from Ankara Airport as Ukrainian President Volodymyr Zelenskyy arrives in Turkey.

Read more on the Sky News website: https://news.sky.com/story/ukraine-war-latest-peace-talks-one-step-closer-as-zelenskyy-agrees-to-meet-putin-12541713

#Russia #Zelenskyy #Putin 

SUBSCRIBE to our YouTube channel for more videos: http://www.youtube.com/skynews 
Follow us on Twitter: https://twitter.com/skynews 
Like us on Facebook: https://www.facebook.com/skynews 
Follow us on Instagram: https://www.instagram.com/skynews 
Follow us on TikTok: https://www.tiktok.com/@skynews 

For more content go to http://news.sky.com and download our apps: Apple https://itunes.apple.com/gb/app/sky-news/id316391924?mt=8 Android https://play.google.com/store/apps/details?id=com.bskyb.skynews.android&hl=en_GB 

Sky News Daily podcast is available for free here: https://podfollow.com/skynewsdaily/ 

Sky News videos are now available in Spanish here/Los video de Sky News están disponibles en español aquí: https://www.youtube.com/channel/UCzG5BnqHO8oNlrPDW9CYJog 

To enquire about licensing Sky News content, you can find more information here: https://news.sky.com/info/library-sales",Sky News,2025-05-15T09:30:42Z,,78320,834,335
vzGqN89ifBI,Abrams and Leopard vs. Russian Tank T-90M. Western Tanks in the War in Ukraine,"Western tanks — Leopard 2, Abrams M1, Challenger 2 — and the Bradley IFV are taking part in real combat in Ukraine.

In this video, we show why their armor protection, firepower, and crew
survivability make them unmatched by Russia’s flagship T-90M.

Tank comparisons, destroyed columns, FPV drones, armored duels, and raw
frontline footage — all reveal why Western armor dominates the battlefield today.

#united24media #united24 #united24fightforfreedom #united24reports

🇺🇦 Firsthand news from the epicenter of global events

👋 Like our content? Become our sponsor and get even more: https://www.youtube.com/channel/UCX-xHRN9CnoXto5gcPskANA/join
❗️News & Analysis: https://united24media.com/
👋 News on Ukraine and Ukrainian perspective on global security https://www.youtube.com/@United24News 
💪 When fighting for freedom, every penny counts. Donate to support Ukraine now on https://u24.gov.ua/uk 

✉️ For collaborations, ideas & questions: welcome@u24.media",UNITED24,2025-05-08T16:36:46Z,Abrams;Abrams in Ukraine;Abrams on battlefield;Abrams tank;Bradley;Bradley IFV;Bradley in combat;Bradley vs BTR;FPV drone attack;FPV vs tank;Leopard;Leopard 2;Leopard in action;Leopard tank;Leopard vs Russian tanks;M1 Abrams;M2 Bradley;NATO equipment;Russian tank losses;T-90M;Ukraine conflict;Ukrainian armor;armored warfare;battlefield;combat video;drone war;frontline;helmet cam;modern warfare;real war;tank combat;tank destruction;war footage,1756300,31054,1381
MyO3ObbxxeM,Putin MELTS DOWN as Ukraine’s Drones HIT Moscow HARD,"Ukraine's drone strike on Moscow shut down 4 airports just days before Putin’s May 9 parade, sending a chilling message to the Kremlin and world leaders alike. Was this a warning shot—or just the beginning? We're breaking down what Ukraine’s bold move really means.

Support us directly as we bring you independent, up-to-date reporting on military news and global conflicts by clicking here: https://www.youtube.com/channel/UCKfak8fBm_Lhy4eX9UKxEpA/join

#militarystrategy #militarydevelopments #militaryanalysis
#themilitaryshow

SOURCES: https://pastebin.com/uWXjugzV",The Military Show,2025-05-08T17:03:48Z,military;navy;army;air force,1282150,27070,1528
wFhpVSgmm2I,"Russia-Ukraine peace talks end after less than 2 hours in Istanbul, officials say • FRANCE 24","The first direct peace talks between Russia and Ukraine since Moscow’s 2022 invasion ended in under two hours, according to Turkey and a senior Ukrainian official. Kyiv accused Moscow of introducing “unacceptable demands,” including the withdrawal of Ukrainian forces from large areas of territory. Here's FRANCE 24's journalists analyses.
#Ukraine #peace

🔔 Subscribe to France 24 now: https://f24.my/YTen
🔴 LIVE - Watch FRANCE 24 English 24/7 here: https://f24.my/YTliveEN

🌍 Read the latest International News and Top Stories: https://www.france24.com/en/

Like us on Facebook: https://f24.my/FBen
Follow us on X: https://f24.my/Xen
Bluesky: https://f24.my/BSen and Threads: https://f24.my/THen
Browse the news in pictures on Instagram: https://f24.my/IGen
Discover our TikTok videos: https://f24.my/TKen
Get the latest top stories on Telegram: https://f24.my/TGen",FRANCE 24 English,2025-05-16T14:31:20Z,Donald Trump;Istanbul;Kyiv;Moscow;Russia;Turkey;Ukraine;Vladimir Putin;Volodymyr Zelensky;Washington;White House;Zelensky;diplomacy;international politics;peace talks;russian invasion;talks;war in Ukraine,32394,433,245
1S8HTZOt4Us,Putin To Punish Ukraine If Istanbul Talks Fail? Big Russian Military Reshuffle Sparks Speculation,"Just before critical Russia-Ukraine peace talks in Istanbul, Putin shocks the world by firing his land forces chief, Oleg Salyukov. The talks, originally scheduled for May 15, have now been pushed to Friday. Ukraine’s President Zelensky, already in Turkey, voiced concern over the delay. As new delegations prepare, all eyes are on Istanbul. Can diplomacy prevail amid reshuffles and high-level signals?


INTERNATIONAL NEWS


#Putin #Russia #Ukraine #PeaceTalks #Salyukov #MilitaryShakeup #Istanbul #Zelensky #Shoigu



Hindustan Times Videos brings all the News for the Global Indian under one umbrella. We break down news from across the globe from the unique lens of a Rising India. Tune in for Explainers, Opinions, Analysis and a 360 degree view of big events in India and the World which impact your present and future. 

Follow the Hindustan Times Channel on WhatsApp for News Alerts, Top Stories and Editor picks. Join Us Today - https://www.bit.ly/3PQ4kSv

Subscribe to the Hindustan Times YT channel and press the bell icon to get notified when we go live.

Visit our website https://www.hindustantimes.com/
Follow us on Twitter https://twitter.com/htTweets
Follow us on Facebook https://www.facebook.com/hindustantimes",Hindustan Times,2025-05-16T02:33:22Z,Putin sacks Salyukov;Russia land forces chief fired;Russia Ukraine peace talks Istanbul;Salyukov Shoigu Putin;Kremlin military reshuffle;Zelensky Erdogan Turkey;Istanbul peace talks delay;Russia Ukraine negotiations;Russian military changes;Salyukov battlefield setbacks;Putin Shoigu news;Ukraine defense minister Umerov;Vladimir Medinsky Russia;Russia Ukraine war update;Kremlin peace talks;Istanbul negotiations news;Putin Zelensky meeting;Russian MoD shakeup,30422,694,93
ttb3Iwx0W7c,Putin not attending war talks with Ukraine that he himself proposed,"Vladimir Putin was not included in a list released by the Kremlin of who will attend discussions between Russia and Ukraine in Turkey. The talks were first proposed by Putin in response to the ceasefire-or-sanctions ultimatum given to Moscow by Ukraine’s European allies, when the leaders of Germany, France, Poland and the United Kingdom demanded that Russia accept a 30-day ceasefire proposal or face a new round of “massive” sanctions. #CNN #News",CNN,2025-05-14T21:48:43Z,,207979,2307,2225
PBajrPiEX4g,"Russia's Checkmate, Zelensky Out of Options Now? Putin's Top Man Drops Final Peace Terms To Stop War","A historic summit between Russian President Vladimir Putin and Ukrainian President Volodymyr Zelensky could be on the horizon, as Moscow signals its willingness to meet if concrete agreements are reached in ongoing peace talks. Following the first direct negotiations between Russia and Ukraine since 2022-held in Istanbul and mediated by Turkey-Kremlin spokesman Dmitry Peskov stated that a Putin-Zelensky meeting is possible, but only after both sides’ delegations finalize specific terms. Watch for more

INTERNATIONAL NEWS

#PutinZelenskyMeet #RussiaUkraineTalks #RussiaUkraineWar #UkraineWar #Moscow #Ukraine #Kyiv #NATO #Kremlin #CeasefireNegotiations #IstanbulTalks #TurkeyMediation #VolodymyrZelensky #VladimirPutin #RussianMilitary #UkrainePeaceDeal #DonaldTrump #MarcoRubio #PrisonerSwap #MartialLawUkraine #RussiaUSTalks #VladimirMedinsky #DmitryPeskov #RussiaUkraineConflict #Washington #TrumpAdministration

Hindustan Times Videos brings all the News for the Global Indian under one umbrella. We break down news from across the globe from the unique lens of a Rising India. Tune in for Explainers, Opinions, Analysis and a 360 degree view of big events in India and the World which impact your present and future. 

Follow the Hindustan Times Channel on WhatsApp for News Alerts, Top Stories and Editor picks. Join Us Today - https://www.bit.ly/3PQ4kSv

Subscribe to the Hindustan Times YT channel and press the bell icon to get notified when we go live.

Visit our website https://www.hindustantimes.com/
Follow us on Twitter https://twitter.com/htTweets
Follow us on Facebook https://www.facebook.com/hindustantimes",Hindustan Times,2025-05-17T12:28:08Z,english news;news;ht;world news;Putin Zelensky Meet;Russia Ukraine talks;Russia Ukraine war;Ukraine war;Moscow;Ukraine;Kyiv;NATO;Kremlin;ceasefire negotiations;Istanbul talks;Turkey mediation;Volodymyr Zelensky;Vladimir Putin;Russian military;Ukraine peace deal;Donald Trump;Marco Rubio;prisoner swap;martial law Ukraine;Russia US talks;Vladimir Medinsky;Dmitry Peskov;Russia Ukraine conflict;Washington;Trump Administration,202121,2063,527
RHk_gYw9smA,"BREAKING: Russia-Ukraine end peace talks after 2 hours, agree to exchange 1,000 prisoners","The first direct peace talks between Russia and Ukraine since the early weeks of Moscow’s 2022 invasion ended Friday after less than two hours, and a senior Ukrainian official said the Russian side introduced new “unacceptable demands.” AP reports, before they adjourned, Kyiv and Moscow agreed to exchange 1,000 prisoners of war each, according to the heads of both delegations, in what would be their biggest such swap since the war began.

Subscribe to LiveNOW from FOX! https://www.youtube.com/livenowfox?sub_confirmation=1
Where to watch LiveNOW from FOX: https://www.livenowfox.com/
Follow us @LiveNOWFOX on Twitter: https://twitter.com/livenowfox

Raw and unfiltered. Watch a non-stop stream of breaking news, live events and stories across the nation. Limited commentary. No opinion. Experience LiveNOW from FOX.",LiveNOW from FOX,2025-05-16T15:01:18Z,russiqa;russia ukraine;ukraine flag;russia v ukraine;news;ukraine;news ukraine;war in ukraine;trump;trump ukraine,181100,1295,466
gBmUp4OvEC0,Russia-Ukraine War: Zelensky Urges Trump To Meet With Putin Happen | WION,"In a significant development, Russian President Vladimir Putin has offered Ukraine the opportunity to restart peace talks without preconditions, proposing Turkey as the meeting venue. In response, Ukrainian President Volodymyr Zelensky has expressed a desire for a ceasefire and welcomed Putin to Turkey for dialogues. Both leaders have not met face-to-face since 2019, raising questions about the feasibility of these peace talks. 

#russia #ukraine #wion 

About Channel: 

WION The World is One News examines global issues with in-depth analysis. We provide much more than the news of the day. Our aim is to empower people to explore their world. With our Global headquarters in New Delhi, we bring you news on the hour, by the hour. We deliver information that is not biased. We are journalists who are neutral to the core and non-partisan when it comes to world politics. People are tired of biased reportage and we stand for a globalized united world. So for us, the World is truly One.
 
Please keep discussions on this channel clean and respectful and refrain from using racist or sexist slurs and personal insults.

Subscribe to our channel at https://goo.gl/JfY3NI
Check out our website: http://www.wionews.com
Join our WhatsApp Channel: https://bit.ly/455YOQ0
Connect with us on our social media handles:
Facebook: https://www.facebook.com/WIONews
Twitter: https://twitter.com/WIONews
Instagram: https://www.instagram.com/wionews/
Follow us on Google News for the latest updates

Zee News:- https://bit.ly/2Ac5G60
Zee Business:- https://bit.ly/36vI2xa
DNA India:- https://bit.ly/2ZDuLRY
WION: https://bit.ly/3gnDb5J
Zee News Apps: https://bit.ly/ZeeNewsApps",WION,2025-05-14T02:41:03Z,russia ukraine war;ukraine conflict;russia invasion 2022;ukraine war news;russia attack ukraine;putin ukraine war;zelensky news;donbas conflict;ukraine frontline;nato russia tension;war in europe;russian military;ukraine defense;kyiv under attack;russia sanctions;ukrainian army;russia ukraine updates;ukraine crisis;eastern europe conflict;war news today;zelensky;trump;trump zelensky;russia ukraine war news;wion news;wion,19792,112,96
6dUDjbvxpMA,"Russian drone attack on Ukraine bus kills nine, officials say | BBC News","Local officials say nine people have been killed in a Russian drone attack on a civilian bus in north-eastern Ukraine.

The Sumy regional military administration said four other people were injured in the town of Bilopillia on Saturday morning as the bus travelled to the regional capital Sumy, close to Russia's border. 

The reported attack comes just hours after Russia and Ukraine held their first direct peace talks since 2022 - no breakthrough was achieved, although a swap of prisoners of war was agreed. 

Ukraine's national police described the bus attack as a ""cynical war crime"". Russia has not commented directly but said it had hit a ""military staging area"" in Sumy.

Subscribe here: http://bit.ly/1rbfUog

For more news, analysis and features visit: www.bbc.com/news 

#Ukraine #BBCNews",BBC News,2025-05-17T07:30:33Z,bbc;bbc news;news;world news;breaking news;us news;world;america;usa;usa news;india news,66035,632,909
